x_m,mach_number
0,0.142339
0.045356,0.142933
0.090712,0.144737
0.136068,0.148349
0.181424,0.155389
0.238862,0.171955
0.29511,0.20169
0.349001,0.24949
0.399419,0.325573
0.440324,0.431911
0.481228,0.612272
0.521604,0.888358
0.569403,1.24155
0.617203,1.52615
0.665003,1.76411
0.712803,1.97179
0.760603,2.15319
0.808403,2.3113
0.856203,2.45206
0.904003,2.58268
0.951802,2.70803
0.999602,2.82677
1.0474,2.93715
1.0952,3.03934
1.143,3.13423
1.1908,3.22278
1.2386,3.30593
1.2864,3.38453
1.3342,3.45932
1.382,3.53096
1.4298,3.59999
1.4776,3.66686
1.5254,3.73193
1.5732,3.79549
1.621,3.85777
1.6688,3.91888
1.7166,3.97929
1.7644,4.03749
1.8122,4.10106
1.86,4.137
