x_m,mach_number
0,0.142495
0.0100791,0.142528
0.0201582,0.142611
0.0302373,0.142741
0.0403164,0.142925
0.0503956,0.143167
0.0604747,0.143473
0.0705538,0.143847
0.0806329,0.144297
0.090712,0.144829
0.100791,0.145455
0.11087,0.146184
0.120949,0.147028
0.131028,0.148
0.141108,0.149118
0.151187,0.150396
0.161266,0.151854
0.171345,0.153514
0.181424,0.1554
0.191902,0.157625
0.202373,0.160147
0.21283,0.163
0.223265,0.166219
0.233672,0.169839
0.244043,0.173901
0.25437,0.178446
0.264648,0.183521
0.274868,0.189173
0.285025,0.195455
0.29511,0.202421
0.305117,0.21013
0.31504,0.218645
0.32487,0.22803
0.334602,0.238356
0.344229,0.249693
0.353745,0.262117
0.363142,0.275703
0.372414,0.290528
0.381555,0.306667
0.390559,0.324193
0.399419,0.343157
0.4076,0.362354
0.415781,0.383333
0.423962,0.406208
0.432143,0.43113
0.440324,0.458248
0.448505,0.487706
0.456686,0.51964
0.464866,0.554173
0.473047,0.591413
0.481228,0.631486
0.490589,0.680777
0.50074,0.738172
0.511233,0.801642
0.521604,0.868191
0.531164,0.932534
0.540724,0.999362
0.550283,1.06809
0.559843,1.13817
0.569403,1.20922
0.578963,1.28087
0.588523,1.35279
0.598083,1.42469
0.607643,1.49634
0.617203,1.56754
0.626763,1.63814
0.636323,1.708
0.645883,1.77704
0.655443,1.84519
0.665003,1.91239
0.674563,1.97861
0.684123,2.04382
0.693683,2.10801
0.703243,2.17116
0.712803,2.23328
0.722363,2.29436
0.731923,2.35442
0.741483,2.41345
0.751043,2.47147
0.760603,2.5285
0.770163,2.58454
0.779723,2.63961
0.789283,2.69373
0.798843,2.74691
0.808403,2.79916
0.817963,2.85049
0.827523,2.90093
0.837083,2.95049
0.846643,2.99919
0.856203,3.04708
0.865763,3.09424
0.875323,3.14082
0.884883,3.18701
0.894443,3.23317
0.904003,3.27973
0.913562,3.32725
0.923123,3.37626
0.932682,3.42696
0.942242,3.47825
0.951802,3.52671
0.961362,3.56448
0.970922,3.57643
0.980482,3.54339
0.990042,3.45472
0.999602,3.31742
1.00916,3.15818
1.01872,3.00843
1.02828,2.88523
1.03784,2.79272
1.0474,2.73066
1.05696,2.6994
1.06652,2.69532
1.07608,2.71108
1.08564,2.73972
1.0952,2.77545
1.10476,2.81406
1.11432,2.8522
1.12388,2.88794
1.13344,2.92057
1.143,2.95006
1.15256,2.97682
1.16212,3.00141
1.17168,3.02442
1.18124,3.04633
1.1908,3.0675
1.20036,3.08822
1.20992,3.10866
1.21948,3.12891
1.22904,3.14902
1.2386,3.16902
1.24816,3.1889
1.25772,3.20865
1.26728,3.22826
1.27684,3.24773
1.2864,3.26704
1.29596,3.28619
1.30552,3.30519
1.31508,3.32402
1.32464,3.3427
1.33420,3.36123
1.34376,3.37962
1.35332,3.39786
1.36288,3.41596
1.37244,3.43393
1.382,3.45177
1.39156,3.46949
1.40112,3.48708
1.41068,3.50456
1.42024,3.52193
1.4298,3.53919
1.43936,3.55634
1.44892,3.57339
1.45848,3.59034
1.46804,3.60719
1.4776,3.62394
1.48716,3.6406
1.49672,3.65717
1.50628,3.67365
1.51584,3.69004
1.5254,3.70634
1.53496,3.72255
1.54452,3.73867
1.55408,3.75471
1.56364,3.77067
1.5732,3.78654
1.58276,3.80232
1.59232,3.81803
1.60188,3.83365
1.61144,3.84919
1.621,3.86465
1.63056,3.88003
1.64012,3.89534
1.64968,3.91056
1.65924,3.92571
1.6688,3.94079
1.67836,3.95579
1.68792,3.97072
1.69748,3.98558
1.70704,4.00037
1.7166,4.01509
1.72616,4.02974
1.73572,4.04432
1.74528,4.05883
1.75484,4.07328
1.7644,4.08766
1.77396,4.10198
1.78352,4.11623
1.79308,4.13042
1.80264,4.14454
1.8122,4.15861
1.82176,4.17259
1.83132,4.18659
1.84088,4.20019
1.85044,4.21523
1.86,4.22375
