x_m,mach_number
0,0.141284
0.0259177,0.141492
0.0518354,0.14205
0.0777531,0.142986
0.103671,0.144457
0.129589,0.146628
0.155506,0.149732
0.181424,0.15407
0.207023,0.159955
0.232517,0.16788
0.257802,0.178367
0.282774,0.19203
0.30733,0.209573
0.33137,0.231793
0.354795,0.259565
0.377509,0.293837
0.399419,0.335565
0.419872,0.384442
0.440324,0.445569
0.460776,0.52202
0.481228,0.617833
0.50074,0.732036
0.521604,0.880932
0.545938,1.07147
0.570273,1.25813
0.594607,1.43478
0.618941,1.60182
0.643276,1.7603
0.66761,1.91076
0.691945,2.05318
0.716279,2.18756
0.740614,2.31415
0.764948,2.43326
0.789283,2.54511
0.813617,2.64988
0.837952,2.7474
0.862286,2.83705
0.886621,2.91768
0.910955,2.98775
0.983959,3.08992
1.00829,3.13835
1.03263,3.14634
1.05696,3.14832
1.0813,3.14842
1.10563,3.15026
1.12997,3.15642
1.1543,3.16846
1.17863,3.18698
1.20297,3.21186
1.2273,3.24248
1.25164,3.27793
1.27597,3.31714
1.30031,3.35911
1.32464,3.40294
1.34898,3.44784
1.37331,3.49324
1.39764,3.53866
1.42198,3.58379
1.44631,3.6284
1.47065,3.67235
1.49498,3.71557
1.51932,3.75801
1.54365,3.79966
1.56799,3.84055
1.59232,3.8807
1.61666,3.92013
1.64099,3.95889
1.66532,3.99701
1.68966,4.03453
1.71399,4.07148
1.73833,4.10791
1.76266,4.14378
1.787,4.17936
1.81133,4.21366
1.83567,4.25123
1.86,4.2724
